Borough,District,School,School Name,School Category,Program,Language,Language (Translated),General/Special Education,Special Education Model,School Address,Address,Borough_check,State,Zipcode,schools_language
Brooklyn,20,20K505,Franklin Delano Roosevelt High School,High school,Transitional Bilingual Education,Chinese,中文,General Education,Not Applicable,"5800 20 AVENUE, BROOKLYN, NY, 11204",5800 20 AVENUE,Brooklyn,NY,11204,20
Brooklyn,21,21K101,P.S. 101 The Verrazano,Elementary,Dual Language,Chinese,中文,General Education,Not Applicable,"8696 24 AVENUE, BROOKLYN, NY, 11214",8696 24 AVENUE,Brooklyn,NY,11214,5
Brooklyn,21,21K228,I.S. 228 David A. Boody,Junior High-Intermediate-Middle,Dual Language,Chinese,中文,General Education,Not Applicable,"228 AVENUE S, BROOKLYN, NY, 11223",228 AVENUE S,Brooklyn,NY,11223,5
Brooklyn,21,21K281,I.S. 281 Joseph B Cavallaro,Junior High-Intermediate-Middle,Dual Language,Chinese,中文,General Education,Not Applicable,"8787 24 AVENUE, BROOKLYN, NY, 11214",8787 24 AVENUE,Brooklyn,NY,11214,5
Brooklyn,21,21K525,Edward R. Murrow High School,High school,Transitional Bilingual Education,Chinese,中文,General Education,Not Applicable,"1600 AVENUE L, BROOKLYN, NY, 11230",1600 AVENUE L,Brooklyn,NY,11230,5
Brooklyn,21,21K540,John Dewey High School,High school,Transitional Bilingual Education,Chinese,中文,General Education,Not Applicable,"50 AVENUE X, BROOKLYN, NY, 11223",50 AVENUE X,Brooklyn,NY,11223,5
Queens,24,24Q007,P.S. 007 Louis F. Simeone,Elementary,Dual Language,Chinese,中文,General Education,Not Applicable,"80-55 CORNISH AVENUE, QUEENS, NY, 11373",80-55 CORNISH AVENUE,Queens,NY,11373,3
Queens,24,24Q013,P.S. 013 Clement C. Moore,Elementary,Dual Language,Chinese,中文,General Education,Not Applicable,"55-01 94 STREET, QUEENS, NY, 11373",55-01 94 STREET,Queens,NY,11373,3
Queens,24,24Q102,P.S. 102 Bayview,K-8,Dual Language,Chinese,中文,General Education,Not Applicable,"55-24 VAN HORN STREET, QUEENS, NY, 11373",55-24 VAN HORN STREET,Queens,NY,11373,3
Queens,25,25Q020,P.S. 020 John Bowne,Elementary,Dual Language,Chinese,中文,General Education,Not Applicable,"142-30 BARCLAY AVENUE, QUEENS, NY, 11355",142-30 BARCLAY AVENUE,Queens,NY,11355,17
Queens,25,25Q020,P.S. 020 John Bowne,Elementary,Transitional Bilingual Education,Chinese,中文,General Education,Not Applicable,"142-30 BARCLAY AVENUE, QUEENS, NY, 11355",142-30 BARCLAY AVENUE,Queens,NY,11355,17
Queens,25,25Q021,P.S. 021 Edward Hart,Elementary,Dual Language,Chinese,中文,General Education,Not Applicable,"147-36 26 AVENUE, QUEENS, NY, 11354",147-36 26 AVENUE,Queens,NY,11354,17
Queens,25,25Q022,P.S. 022 Thomas Jefferson,Elementary,Transitional Bilingual Education,Chinese,中文,General Education,Not Applicable,"153-33 SANFORD AVENUE, QUEENS, NY, 11355",153-33 SANFORD AVENUE,Queens,NY,11355,17
Queens,25,25Q024,P.S. 024 Andrew Jackson,Elementary,Transitional Bilingual Education,Chinese,中文,General Education,Not Applicable,"45-57 UNION STREET, QUEENS, NY, 11355",45-57 UNION STREET,Queens,NY,11355,17
Queens,25,25Q024,P.S. 024 Andrew Jackson,Elementary,Transitional Bilingual Education,Chinese,中文,Special Education,12:1:1,"45-57 UNION STREET, QUEENS, NY, 11355",45-57 UNION STREET,Queens,NY,11355,17
Queens,25,25Q107,P.S. 107 Thomas A Dooley,Elementary,Transitional Bilingual Education,Chinese,中文,General Education,Not Applicable,"167-02 45 AVENUE, QUEENS, NY, 11358",167-02 45 AVENUE,Queens,NY,11358,17
Queens,25,25Q107,P.S. 107 Thomas A Dooley,Elementary,Transitional Bilingual Education,Chinese,中文,Special Education,12:1:1,"167-02 45 AVENUE, QUEENS, NY, 11358",167-02 45 AVENUE,Queens,NY,11358,17
Queens,25,25Q120,P.S. 120 Queens,Elementary,Transitional Bilingual Education,Chinese,中文,General Education,Not Applicable,"58-01 136 STREET, QUEENS, NY, 11355",58-01 136 STREET,Queens,NY,11355,17
Queens,25,25Q120,P.S. 120 Queens,Elementary,Transitional Bilingual Education,Chinese,中文,Special Education,12:1:1,"58-01 136 STREET, QUEENS, NY, 11355",58-01 136 STREET,Queens,NY,11355,17
Queens,25,25Q163,P.S. 163 Flushing Heights,Elementary,Dual Language,Chinese,中文,General Education,Not Applicable,"159-01 59 AVENUE, QUEENS, NY, 11365",159-01 59 AVENUE,Queens,NY,11365,17
Queens,25,25Q189,J.H.S. 189 Daniel Carter Beard,Junior High-Intermediate-Middle,Dual Language,Chinese,中文,General Education,Not Applicable,"144-80 BARCLAY AVENUE, QUEENS, NY, 11355",144-80 BARCLAY AVENUE,Queens,NY,11355,17
Queens,25,25Q237,I.S. 237,Junior High-Intermediate-Middle,Transitional Bilingual Education,Chinese,中文,General Education,Not Applicable,"46-21 COLDEN STREET, QUEENS, NY, 11355",46-21 COLDEN STREET,Queens,NY,11355,17
Queens,25,25Q241,Queens High School for Language Studies,High school,Transitional Bilingual Education,Chinese,中文,General Education,Not Applicable,"35-01 UNION STREET, QUEENS, NY, 11354",35-01 UNION STREET,Queens,NY,11354,17
Queens,25,25Q242,P.S. 242 Leonard P. Stavisky Early Childhood School,Early Childhood,Transitional Bilingual Education,Chinese,中文,General Education,Not Applicable,"29-66 137 STREET, QUEENS, NY, 11354",29-66 137 STREET,Queens,NY,11354,17
Queens,25,25Q244,The Active Learning Elementary School,Early Childhood,Transitional Bilingual Education,Chinese,中文,General Education,Not Applicable,"137-20 FRANKLIN AVENUE, QUEENS, NY, 11355",137-20 FRANKLIN AVENUE,Queens,NY,11355,17
Queens,25,25Q425,John Bowne High School,High school,Transitional Bilingual Education,Chinese,中文,General Education,Not Applicable,"63-25 MAIN STREET, QUEENS, NY, 11367",63-25 MAIN STREET,Queens,NY,11367,17
Queens,26,26Q162,P.S. 162 John Golden,Elementary,Dual Language,Chinese,中文,General Education,Not Applicable,"201-02 53 AVENUE, QUEENS, NY, 11364",201-02 53 AVENUE,Queens,NY,11364,3
Queens,26,26Q173,P.S. 173 Fresh Meadows,Elementary,Dual Language,Chinese,中文,General Education,Not Applicable,"174-10 67 AVENUE, QUEENS, NY, 11365",174-10 67 AVENUE,Queens,NY,11365,3
Queens,26,26Q430,Francis Lewis High School,High school,Transitional Bilingual Education,Chinese,中文,General Education,Not Applicable,"58-20 UTOPIA PARKWAY, QUEENS, NY, 11365",58-20 UTOPIA PARKWAY,Queens,NY,11365,3
Brooklyn,75,75K231,P.S. K231,K-8,Transitional Bilingual Education,Chinese,中文,Special Education,6:1:1,"5601 16 AVENUE, BROOKLYN, NY, 11204",5601 16 AVENUE,Brooklyn,NY,11204,3
Brooklyn,75,75K721,P.S. K721 - Brooklyn Occupational Training Center,K-12 all grades,Transitional Bilingual Education,Chinese,中文,Special Education,6:1:1,"64 AVENUE X, BROOKLYN, NY, 11223",64 AVENUE X,Brooklyn,NY,11223,3
Queens,75,75Q224,P.S. Q224,K-8,Transitional Bilingual Education,Chinese,中文,Special Education,8:1:1,"252-12 72 AVENUE, QUEENS, NY, 11426",252-12 72 AVENUE,Queens,NY,11426,3
Manhattan,3,03M084,P.S. 084 Lillian Weber,Elementary,Dual Language,French,français,General Education,Not Applicable,"32 WEST 92 STREET, MANHATTAN, NY, 10025",32 WEST 92 STREET,Manhattan,NY,10025,2
Manhattan,3,03M256,Lafayette Academy,Junior High-Intermediate-Middle,Dual Language,French,français,General Education,Not Applicable,"154 WEST 93 STREET, MANHATTAN, NY, 10025",154 WEST 93 STREET,Manhattan,NY,10025,2
Brooklyn,13,13K020,P.S. 020 Clinton Hill,Elementary,Dual Language,French,français,General Education,Not Applicable,"225 ADELPHI STREET, BROOKLYN, NY, 11205",225 ADELPHI STREET,Brooklyn,NY,11205,3
Brooklyn,13,13K133,P.S. 133 William A. Butler,Elementary,Dual Language,French,français,General Education,Not Applicable,"610 BALTIC STREET, BROOKLYN, NY, 11217",610 BALTIC STREET,Brooklyn,NY,11217,3
Brooklyn,13,13K691,Fort Greene Preparatory Academy,Junior High-Intermediate-Middle,Dual Language,French,français,General Education,Not Applicable,"100 CLERMONT AVENUE, BROOKLYN, NY, 11205",100 CLERMONT AVENUE,Brooklyn,NY,11205,3
Brooklyn,14,14K110,P.S. 110 The Monitor,Elementary,Dual Language,French,français,General Education,Not Applicable,"124 MONITOR STREET, BROOKLYN, NY, 11222",124 MONITOR STREET,Brooklyn,NY,11222,1
Brooklyn,15,15K058,P.S. 058 The Carroll,Elementary,Dual Language,French,français,General Education,Not Applicable,"330 SMITH STREET, BROOKLYN, NY, 11231",330 SMITH STREET,Brooklyn,NY,11231,2
Brooklyn,15,15K136,I.S. 136 Charles O. Dewey,Junior High-Intermediate-Middle,Dual Language,French,français,General Education,Not Applicable,"4004 4 AVENUE, BROOKLYN, NY, 11232",4004 4 AVENUE,Brooklyn,NY,11232,2
Brooklyn,16,16K005,P.S. 005 Dr. Ronald McNair,Elementary,Dual Language,French,français,General Education,Not Applicable,"820 HANCOCK STREET, BROOKLYN, NY, 11233",820 HANCOCK STREET,Brooklyn,NY,11233,1
Brooklyn,17,17K189,P.S. 189 The Bilingual Center,K-8,Dual Language,French,Kreyòl Ayisyen,General Education,Not Applicable,"1100 EAST NEW YORK AVENUE, BROOKLYN, NY, 11212",1100 EAST NEW YORK AVENUE,Brooklyn,NY,11212,3
Brooklyn,17,17K189,P.S. 189 The Bilingual Center,K-8,Transitional Bilingual Education,French,Kreyòl Ayisyen,General Education,Not Applicable,"1100 EAST NEW YORK AVENUE, BROOKLYN, NY, 11212",1100 EAST NEW YORK AVENUE,Brooklyn,NY,11212,3
Brooklyn,17,17K600,Clara Barton High School,High school,Transitional Bilingual Education,French,Kreyòl Ayisyen,General Education,Not Applicable,"901 CLASSON AVENUE, BROOKLYN, NY, 11225",901 CLASSON AVENUE,Brooklyn,NY,11225,3
Manhattan,3,03M242,P.S. 242 - The Young Diplomats Magnet Academy,Elementary,Dual Language,Indo-European,italiano,General Education,Not Applicable,"134 WEST 122 STREET, MANHATTAN, NY, 10027",134 WEST 122 STREET,Manhattan,NY,10027,1
Brooklyn,14,14K132,P.S. 132 The Conselyea School,Elementary,Dual Language,Indo-European,italiano,General Education,Not Applicable,"320 MANHATTAN AVENUE, BROOKLYN, NY, 11211",320 MANHATTAN AVENUE,Brooklyn,NY,11211,3
Brooklyn,20,20K112,P.S. 112 Lefferts Park,Elementary,Dual Language,Indo-European,italiano,General Education,Not Applicable,"7115 15 AVENUE, BROOKLYN, NY, 11228",7115 15 AVENUE,Brooklyn,NY,11228,2
Brooklyn,20,20K201,The Madeleine Brennan School,Junior High-Intermediate-Middle,Dual Language,Indo-European,italiano,General Education,Not Applicable,"8010 12 AVENUE, BROOKLYN, NY, 11228",8010 12 AVENUE,Brooklyn,NY,11228,2
Queens,25,25Q032,P.S. 032 State Street,Elementary,Dual Language,Korean,한국어,General Education,Not Applicable,"33-59 171 STREET, QUEENS, NY, 11358",33-59 171 STREET,Queens,NY,11358,1
Brooklyn,14,14K034,P.S. 034 Oliver H. Perry,Elementary,Dual Language,Slavic,Polski,General Education,Not Applicable,"131 NORMAN AVENUE, BROOKLYN, NY, 11222",131 NORMAN AVENUE,Brooklyn,NY,11222,1
Queens,24,24Q071,P.S. 071 Forest,Elementary,Dual Language,Slavic,Polski,General Education,Not Applicable,"62-85 FOREST AVENUE, QUEENS, NY, 11385",62-85 FOREST AVENUE,Queens,NY,11385,2
Queens,24,24Q153,P.S. 153 Maspeth Elem,Elementary,Dual Language,Slavic,Polski,General Education,Not Applicable,"60-02 60 LANE, QUEENS, NY, 11378",60-02 60 LANE,Queens,NY,11378,2
Manhattan,3,03M145,"P.S. 145, The Bloomingdale School",Elementary,Dual Language,Slavic,русский,General Education,Not Applicable,"150 WEST 105 STREET, MANHATTAN, NY, 10025",150 WEST 105 STREET,Manhattan,NY,10025,1
Brooklyn,20,20K200,P.S. 200 Benson School,Elementary,Dual Language,Slavic,русский,General Education,Not Applicable,"1940 BENSON AVENUE, BROOKLYN, NY, 11214",1940 BENSON AVENUE,Brooklyn,NY,11214,1
Brooklyn,21,21K228,I.S. 228 David A. Boody,Junior High-Intermediate-Middle,Dual Language,Slavic,русский,General Education,Not Applicable,"228 AVENUE S, BROOKLYN, NY, 11223",228 AVENUE S,Brooklyn,NY,11223,2
Brooklyn,21,21K303,I.S. 303 Herbert S. Eisenberg,Junior High-Intermediate-Middle,Dual Language,Slavic,русский,General Education,Not Applicable,"501 WEST AVENUE, BROOKLYN, NY, 11224",501 WEST AVENUE,Brooklyn,NY,11224,2
Brooklyn,22,22K206,P.S. 206 Joseph F Lamb,K-8,Dual Language,Slavic,русский,General Education,Not Applicable,"2200 GRAVESEND NECK ROAD, BROOKLYN, NY, 11229",2200 GRAVESEND NECK ROAD,Brooklyn,NY,11229,2
Brooklyn,22,22K278,J.H.S. 278 Marine Park,Junior High-Intermediate-Middle,Transitional Bilingual Education,Slavic,русский,General Education,Not Applicable,"1925 STUART STREET, BROOKLYN, NY, 11229",1925 STUART STREET,Brooklyn,NY,11229,2
Manhattan,1,01M020,P.S. 020 Anna Silver,Elementary,Dual Language,Spanish,Español,General Education,Not Applicable,"166 ESSEX STREET, MANHATTAN, NY, 10002",166 ESSEX STREET,Manhattan,NY,10002,2
Manhattan,1,01M515,Lower East Side Preparatory High School,High school,Transitional Bilingual Education,Spanish,Español,General Education,Not Applicable,"145 STANTON STREET, MANHATTAN, NY, 10002",145 STANTON STREET,Manhattan,NY,10002,2
Manhattan,2,02M001,P.S. 001 Alfred E. Smith,Elementary,Dual Language,Spanish,Español,General Education,Not Applicable,"8 HENRY STREET, MANHATTAN, NY, 10038",8 HENRY STREET,Manhattan,NY,10038,6
Manhattan,2,02M316,"Urban Assembly School of Business for Young Women, the",High school,Transitional Bilingual Education,Spanish,Español,General Education,Not Applicable,"26 BROADWAY, MANHATTAN, NY, 10004",26 BROADWAY,Manhattan,NY,10004,6
Manhattan,2,02M399,The High School For Language And Diplomacy,High school,Dual Language,Spanish,Español,General Education,Not Applicable,"40 IRVING PLACE, MANHATTAN, NY, 10003",40 IRVING PLACE,Manhattan,NY,10003,6
Manhattan,2,02M427,Manhattan Academy For Arts & Language,High school,Transitional Bilingual Education,Spanish,Español,General Education,Not Applicable,"111 EAST 33 STREET, MANHATTAN, NY, 10016",111 EAST 33 STREET,Manhattan,NY,10016,6
Manhattan,2,02M542,Manhattan Bridges High School,High school,Dual Language,Spanish,Español,General Education,Not Applicable,"525 WEST 50 STREET, MANHATTAN, NY, 10019",525 WEST 50 STREET,Manhattan,NY,10019,6
Manhattan,2,02M542,Manhattan Bridges High School,High school,Transitional Bilingual Education,Spanish,Español,General Education,Not Applicable,"525 WEST 50 STREET, MANHATTAN, NY, 10019",525 WEST 50 STREET,Manhattan,NY,10019,6
Manhattan,3,03M075,P.S. 075 Emily Dickinson,Elementary,Dual Language,Spanish,Español,General Education,Not Applicable,"735 WEST END AVENUE, MANHATTAN, NY, 10025",735 WEST END AVENUE,Manhattan,NY,10025,13
Manhattan,3,03M075,P.S. 075 Emily Dickinson,Elementary,Dual Language,Spanish,Español,Special Education,ICT,"735 WEST END AVENUE, MANHATTAN, NY, 10025",735 WEST END AVENUE,Manhattan,NY,10025,13
Manhattan,3,03M084,P.S. 084 Lillian Weber,Elementary,Dual Language,Spanish,Español,General Education,Not Applicable,"32 WEST 92 STREET, MANHATTAN, NY, 10025",32 WEST 92 STREET,Manhattan,NY,10025,13
Manhattan,3,03M087,P.S. 087 William Sherman,Elementary,Dual Language,Spanish,Español,General Education,Not Applicable,"160 WEST 78 STREET, MANHATTAN, NY, 10024",160 WEST 78 STREET,Manhattan,NY,10024,13
Manhattan,3,03M145,"P.S. 145, The Bloomingdale School",Elementary,Dual Language,Spanish,Español,General Education,Not Applicable,"150 WEST 105 STREET, MANHATTAN, NY, 10025",150 WEST 105 STREET,Manhattan,NY,10025,13
Manhattan,3,03M163,P.S. 163 Alfred E. Smith,Elementary,Dual Language,Spanish,Español,General Education,Not Applicable,"163 WEST 97 STREET, MANHATTAN, NY, 10025",163 WEST 97 STREET,Manhattan,NY,10025,13
Manhattan,3,03M165,P.S. 165 Robert E. Simon,Elementary,Dual Language,Spanish,Español,General Education,Not Applicable,"234 WEST 109 STREET, MANHATTAN, NY, 10025",234 WEST 109 STREET,Manhattan,NY,10025,13
Manhattan,3,03M180,P.S. 180 Hugo Newman,K-8,Dual Language,Spanish,Español,General Education,Not Applicable,"370 WEST 120 STREET, MANHATTAN, NY, 10027",370 WEST 120 STREET,Manhattan,NY,10027,13
Manhattan,3,03M191,The Riverside School for Makers and Artists,K-8,Transitional Bilingual Education,Spanish,Español,General Education,Not Applicable,"300 WEST 61 STREET, MANHATTAN, NY, 10023",300 WEST 61 STREET,Manhattan,NY,10023,13
Manhattan,3,03M247,M.S. M247 Dual Language Middle School,Junior High-Intermediate-Middle,Dual Language,Spanish,Español,General Education,Not Applicable,"100 WEST 77 STREET, MANHATTAN, NY, 10024",100 WEST 77 STREET,Manhattan,NY,10024,13
Manhattan,3,03M247,M.S. M247 Dual Language Middle School,Junior High-Intermediate-Middle,Dual Language,Spanish,Español,Special Education,ICT,"100 WEST 77 STREET, MANHATTAN, NY, 10024",100 WEST 77 STREET,Manhattan,NY,10024,13
